imdb id,budget,revenue,certification
tt0113026,10000000.0,0.0,
tt0113092,0.0,0.0,
tt0116391,0.0,0.0,
tt0118694,150000.0,14204632.0,PG
tt0118852,0.0,0.0,R
tt0119273,15000000.0,0.0,R
tt0119495,0.0,0.0,R
tt0119806,0.0,0.0,
tt0119966,0.0,0.0,
tt0120202,0.0,9206279.0,
tt0120263,0.0,80334.0,
tt0120467,120000.0,14904.0,R
tt0120626,6105121.0,0.0,
tt0120630,45000000.0,224834564.0,G
tt0120698,0.0,0.0,
tt0120733,0.0,0.0,NR
tt0120753,8000000.0,105983.0,R
tt0120755,125000000.0,546388105.0,PG-13
tt0120903,75000000.0,296339527.0,PG-13
tt0120913,75000000.0,36754634.0,PG
tt0120917,100000000.0,169327687.0,G
tt0122161,0.0,0.0,R
tt0122459,24000000.0,36609995.0,PG
tt0123003,10000000.0,0.0,
tt0123055,0.0,0.0,G
tt0127349,8500000.0,327418.0,R
tt0128158,0.0,0.0,
tt0130623,127500000.0,354248063.0,PG
tt0131704,76000000.0,35134820.0,PG
tt0132885,0.0,0.0,
tt0132910,10000000.0,0.0,R
tt0133752,0.0,0.0,
tt0134084,40000000.0,161834276.0,R
tt0134630,0.0,0.0,R
tt0134847,23000000.0,53187659.0,R
tt0134983,90000000.0,14828081.0,PG-13
tt0135707,0.0,0.0,
tt0138288,0.0,0.0,
tt0138353,1700000.0,0.0,R
tt0138749,95000000.0,76432727.0,PG
tt0138818,0.0,0.0,PG-13
tt0138927,0.0,0.0,PG-13
tt0138946,0.0,0.0,R
tt0139388,0.0,0.0,PG
tt0139500,0.0,0.0,
tt0141926,62000000.0,127666415.0,PG-13
tt0142650,0.0,0.0,R
tt0143344,0.0,0.0,
tt0144084,7000000.0,34266564.0,R
tt0144142,3000000.0,0.0,R
tt0144189,0.0,0.0,
tt0144528,84000000.0,123307945.0,PG-13
tt0144574,0.0,0.0,
tt0144608,0.0,0.0,PG
tt0144964,25000000.0,15843608.0,R
tt0146309,80000000.0,34566746.0,PG-13
tt0146882,30000000.0,47126295.0,R
tt0146984,80000000.0,39459427.0,PG-13
tt0147486,0.0,0.0,
tt0148421,0.0,0.0,
tt0149367,0.0,0.0,PG-13
tt0149624,57000000.0,0.0,PG-13
tt0151150,6900000.0,15000000.0,
tt0151309,0.0,0.0,
tt0153012,0.0,0.0,
tt0153100,0.0,0.0,
tt0153464,0.0,0.0,
tt0155150,0.0,0.0,R
tt0156020,0.0,0.0,
tt0156323,10000000.0,7201701.0,R
tt0156741,0.0,0.0,R
tt0156757,0.0,0.0,PG-13
tt0156807,0.0,0.0,PG-13
tt0156812,6000000.0,35547761.0,PG
tt0156841,25000000.0,24362772.0,PG-13
tt0156942,1200000.0,0.0,
tt0157122,0.0,0.0,R
tt0157202,0.0,0.0,
tt0157262,26000000.0,270813.0,R
tt0157836,0.0,0.0,
tt0158033,0.0,0.0,
tt0158622,83000000.0,59468275.0,PG
tt0159291,0.0,0.0,
tt0159371,0.0,0.0,
tt0159396,0.0,0.0,R
tt0159784,0.0,0.0,R
tt0160009,40000000.0,30199105.0,R
tt0160127,92000000.0,264105545.0,PG-13
tt0160256,0.0,0.0,
tt0160289,0.0,0.0,
tt0160403,0.0,0.0,R
tt0160434,0.0,0.0,R
tt0160447,0.0,0.0,
tt0160484,50000000.0,31355910.0,R
tt0160495,12000000.0,0.0,R
tt0160547,0.0,0.0,
tt0160611,0.0,0.0,
tt0160616,800000.0,0.0,
tt0160644,0.0,0.0,
tt0160652,0.0,0.0,R
tt0160663,0.0,0.0,
tt0160710,0.0,0.0,PG-13
tt0160749,0.0,0.0,PG
tt0160751,0.0,0.0,
tt0160759,0.0,0.0,
tt0160797,60000000.0,71000000.0,R
tt0160859,0.0,0.0,
tt0161003,0.0,0.0,
tt0161081,100000000.0,291420351.0,PG-13
tt0161216,0.0,0.0,
tt0162222,90000000.0,429632142.0,PG-13
tt0162650,46000000.0,107626125.0,R
tt0162711,0.0,0.0,R
tt0162983,60000000.0,51880044.0,PG-13
tt0163080,0.0,0.0,
tt0163125,0.0,0.0,
tt0163566,0.0,0.0,
tt0163676,15000000.0,5217498.0,PG-13
tt0163745,1000000.0,0.0,R
tt0163978,40000000.0,144056873.0,R
tt0163983,40000000.0,0.0,R
tt0164052,95000000.0,190213455.0,NR
tt0164182,0.0,0.0,
tt0164192,0.0,0.0,
tt0164212,25000000.0,1308242.0,R
tt0164318,0.0,0.0,
tt0164545,0.0,0.0,
tt0164953,0.0,0.0,
tt0165400,0.0,0.0,
tt0165642,0.0,0.0,
tt0165800,0.0,0.0,
tt0165928,0.0,0.0,R
tt0165929,25000000.0,91036760.0,R
tt0166013,0.0,0.0,
tt0166192,0.0,0.0,
tt0166370,100000.0,0.0,
tt0167183,0.0,0.0,
tt0167203,34000000.0,14400327.0,PG-13
tt0168446,0.0,0.0,
tt0168504,0.0,0.0,R
tt0168509,0.0,0.0,
tt0168612,10000.0,10000.0,R
tt0168629,12800000.0,40031879.0,R
tt0168631,0.0,0.0,
tt0168714,0.0,0.0,
tt0168856,18000000.0,5595327.0,
tt0169122,0.0,0.0,
tt0169324,0.0,0.0,R
tt0169543,0.0,0.0,
tt0170016,123000000.0,345823040.0,PG
tt0170452,0.0,0.0,
tt0170691,10000000.0,148701.0,R
tt0171356,10000000.0,1631839.0,R
tt0171359,2000000.0,1568749.0,R
tt0171433,30000000.0,59945183.0,PG-13
tt0171580,24000000.0,0.0,R
tt0172464,0.0,0.0,
tt0172495,103000000.0,465361176.0,
tt0172632,0.0,0.0,
tt0172699,0.0,0.0,
tt0172794,0.0,0.0,R
tt0172949,100000.0,0.0,R
tt0173568,0.0,0.0,
tt0173716,10000000.0,0.0,R
tt0174336,3000000.0,0.0,R
tt0174480,65000000.0,0.0,PG-13
tt0174646,0.0,0.0,
tt0175114,0.0,0.0,
tt0175142,19000000.0,278019771.0,R
tt0176244,0.0,0.0,
tt0176579,0.0,0.0,R
tt0176783,14000000.0,5108820.0,R
tt0176883,0.0,0.0,PG
tt0177068,0.0,0.0,R
tt0177185,0.0,0.0,
tt0177195,30000.0,0.0,
tt0177213,0.0,0.0,
tt0177513,0.0,0.0,
tt0177650,16000000.0,146193.0,PG-13
tt0177845,0.0,0.0,
tt0177858,0.0,0.0,
tt0177888,0.0,27.0,R
tt0177971,120000000.0,325756637.0,PG-13
tt0178043,0.0,0.0,R
tt0178050,0.0,0.0,R
tt0179144,0.0,0.0,
tt0179183,11000000.0,0.0,R
tt0179400,0.0,0.0,
tt0179443,0.0,0.0,
tt0179473,4000000.0,0.0,R
tt0179653,0.0,0.0,
tt0179861,0.0,0.0,
tt0180073,13500000.0,7060876.0,
tt0180093,4500000.0,7390108.0,R
tt0180683,0.0,0.0,
tt0181151,60000000.0,0.0,R
tt0181311,0.0,0.0,
tt0181536,43000000.0,80049764.0,PG-13
tt0181836,0.0,0.0,R
tt0181865,48000000.0,207515725.0,R
tt0181875,60000000.0,47386287.0,NR
tt0181945,0.0,0.0,
tt0181984,7000000.0,28780255.0,R
tt0182295,13000000.0,299792.0,
tt0182508,0.0,0.0,R
tt0183056,0.0,0.0,
tt0183113,0.0,0.0,
tt0183142,0.0,0.0,
tt0183280,0.0,0.0,R
tt0183423,0.0,0.0,R
tt0183488,0.0,0.0,
tt0183505,51000000.0,149270999.0,R
tt0183523,90000000.0,60874615.0,PG
tt0183550,0.0,0.0,
tt0183639,0.0,0.0,
tt0183659,6000000.0,10994533.0,R
tt0183808,3500000.0,0.0,
tt0183869,10500000.0,64400000.0,
tt0184457,0.0,0.0,
tt0184858,42000000.0,32168970.0,R
tt0184894,55000000.0,99274467.0,PG-13
tt0184907,13000000.0,62464731.0,PG
tt0185007,0.0,537.0,
tt0185014,35000000.0,0.0,R
tt0185183,73000000.0,29000000.0,PG-13
tt0185431,85000000.0,58292295.0,PG-13
tt0185542,0.0,0.0,
tt0186029,0.0,0.0,
tt0186045,6000000.0,15427192.0,PG-13
tt0186151,31000000.0,68106245.0,PG-13
tt0186183,700000.0,0.0,
tt0186454,0.0,0.0,
tt0186549,0.0,0.0,R
tt0186566,65000000.0,128884132.0,PG-13
tt0186719,0.0,0.0,
tt0186894,35000000.0,36779296.0,PG-13
tt0186975,9000000.0,0.0,PG-13
tt0187078,90000000.0,237202299.0,PG-13
tt0187251,0.0,0.0,
tt0187387,0.0,0.0,PG-13
tt0187393,110000000.0,215294342.0,R
tt0187559,3000000.0,0.0,R
tt0187696,0.0,0.0,R
tt0187750,0.0,0.0,R
tt0187761,0.0,0.0,
tt0187847,0.0,0.0,
tt0188045,10000000.0,0.0,
tt0188055,0.0,0.0,R
tt0188160,10000000.0,0.0,
tt0188490,0.0,0.0,
tt0188518,0.0,0.0,
tt0188688,0.0,0.0,
tt0189456,0.0,0.0,
tt0189998,8000000.0,8279017.0,R
tt0190052,0.0,0.0,
tt0190138,41300000.0,106371651.0,R
tt0190332,17000000.0,213525736.0,
tt0190374,35000000.0,15185241.0,PG-13
tt0190398,0.0,0.0,PG
tt0190449,0.0,0.0,
tt0190524,0.0,0.0,PG-13
tt0190590,26000000.0,71870729.0,PG-13
tt0190736,0.0,0.0,R
tt0190861,0.0,0.0,
tt0190865,75000000.0,215663859.0,PG-13
tt0190994,0.0,0.0,
tt0191037,0.0,14693.0,R
tt0191242,3500000.0,0.0,
tt0191397,50000000.0,50054511.0,PG-13
tt0191636,0.0,0.0,
tt0191754,43000000.0,62198945.0,PG-13
tt0191787,0.0,0.0,
tt0191996,0.0,0.0,R
tt0192126,0.0,0.0,
tt0192255,35000000.0,27965865.0,G
tt0192295,0.0,2061924.0,
tt0192346,0.0,0.0,
tt0192455,0.0,0.0,R
tt0192614,15000000.0,50802120.0,PG-13
tt0192719,0.0,0.0,
tt0192731,14000000.0,38574362.0,R
tt0192912,0.0,0.0,NR
tt0192949,0.0,0.0,
tt0193135,0.0,0.0,
tt0193318,0.0,0.0,
tt0193854,0.0,0.0,R
tt0193859,0.0,0.0,R
tt0194104,0.0,0.0,
tt0194218,1000000.0,779137.0,R
tt0194368,20000000.0,0.0,R
tt0194410,0.0,0.0,
tt0194519,0.0,0.0,NR
tt0195234,10000000.0,26330482.0,R
tt0195308,1250000.0,0.0,PG
tt0195631,0.0,0.0,
tt0195685,52000000.0,256271286.0,
tt0195714,23000000.0,112880294.0,
tt0195778,15000000.0,10873148.0,PG-13
tt0195857,500000.0,0.0,
tt0195860,0.0,0.0,
tt0195944,0.0,0.0,
tt0195945,11000000.0,59827328.0,R
tt0196106,4.0,1.0,PG
tt0196216,0.0,0.0,PG
tt0196219,0.0,0.0,R
tt0196223,0.0,0.0,NR
tt0196708,0.0,0.0,R
tt0196723,20000000.0,0.0,
tt0197072,0.0,0.0,
tt0197096,0.0,0.0,PG-13
tt0197299,0.0,0.0,
tt0197384,0.0,26394.0,
tt0197644,0.0,0.0,R
tt0197646,0.0,0.0,
tt0197750,4000000.0,0.0,R
tt0197753,0.0,0.0,R
tt0198021,15000000.0,33771174.0,PG-13
tt0198284,0.0,0.0,R
tt0198386,0.0,0.0,PG-13
tt0198893,0.0,0.0,R
tt0198903,0.0,0.0,
tt0199129,0.0,0.0,R
tt0199290,6000000.0,9000000.0,R
tt0199314,0.0,802951.0,
tt0199504,0.0,0.0,
tt0199650,2000000.0,0.0,R
tt0199725,20000000.0,27728118.0,PG-13
tt0199727,0.0,0.0,
tt0199744,0.0,0.0,
tt0199753,80000000.0,33463969.0,PG-13
tt0199974,0.0,0.0,R
tt0200171,0.0,0.0,
tt0200192,0.0,0.0,
tt0200427,0.0,0.0,R
tt0200472,0.0,0.0,
tt0200530,0.0,0.0,R
tt0200550,45000000.0,113916474.0,PG-13
tt0200669,15000000.0,5753678.0,R
tt0200720,10000000.0,5164404.0,
tt0201670,0.0,0.0,
tt0201726,0.0,0.0,R
tt0201737,0.0,0.0,
tt0201888,0.0,0.0,
tt0201899,0.0,0.0,PG-13
tt0201901,0.0,0.0,
tt0202236,0.0,0.0,
tt0202314,0.0,0.0,
tt0202402,15000000.0,9902115.0,PG-13
tt0202452,0.0,0.0,
tt0202560,0.0,0.0,
tt0202641,0.0,0.0,
tt0202677,8500000.0,19125401.0,R
tt0202711,0.0,0.0,
tt0202856,0.0,0.0,
tt0202989,0.0,0.0,R
tt0203019,32000000.0,82343495.0,
tt0203047,0.0,0.0,
tt0203053,0.0,0.0,
tt0203119,5000000.0,0.0,R
tt0203166,0.0,0.0,R
tt0203230,0.0,0.0,R
tt0203297,0.0,0.0,
tt0203540,0.0,1443067.0,R
tt0203580,0.0,0.0,
tt0203632,0.0,0.0,
tt0203830,0.0,0.0,R
tt0203835,0.0,0.0,
tt0203940,0.0,0.0,
tt0204137,3600000.0,43805.0,R
tt0204175,16000000.0,20627372.0,PG-13
tt0204350,1200000.0,1404.0,R
tt0204382,0.0,0.0,
tt0204626,33000000.0,0.0,R
tt0204640,0.0,1079726.0,
tt0204698,0.0,0.0,
tt0204761,0.0,0.0,
tt0204885,0.0,0.0,
tt0204932,0.0,0.0,
tt0204933,0.0,0.0,
tt0204946,28000000.0,90449929.0,PG-13
tt0205177,0.0,0.0,
tt0205271,23000000.0,22844291.0,R
tt0205418,0.0,0.0,R
tt0205461,19000000.0,19748009.0,G
tt0205526,0.0,0.0,
tt0205729,0.0,0.0,
tt0205778,0.0,0.0,
tt0205873,0.0,0.0,PG-13
tt0205936,500000.0,0.0,
tt0206075,0.0,0.0,PG-13
tt0206088,0.0,0.0,
tt0206223,0.0,0.0,
tt0206226,1500000.0,268117.0,NR
tt0206420,8000000.0,10194274.0,R
tt0206545,0.0,0.0,
tt0206608,0.0,0.0,
tt0206694,0.0,0.0,
tt0206742,0.0,0.0,
tt0206917,20170000.0,1800000.0,
tt0206926,0.0,0.0,R
tt0207036,0.0,0.0,R
tt0207161,0.0,0.0,PG
tt0207163,0.0,0.0,
tt0207201,70000000.0,374111707.0,PG-13
tt0207333,1500000.0,0.0,PG
tt0207377,0.0,0.0,
tt0207501,0.0,0.0,
tt0207524,7300000.0,0.0,R
tt0207631,0.0,0.0,
tt0207638,0.0,0.0,
tt0207745,0.0,0.0,
tt0208003,30000000.0,173959438.0,PG-13
tt0208017,0.0,0.0,
tt0208037,0.0,0.0,R
tt0208050,0.0,0.0,
tt0208092,10000000.0,83557872.0,R
tt0208196,0.0,688510.0,R
tt0208204,0.0,0.0,
tt0208870,0.0,5659.0,
tt0208874,20000000.0,22428990.0,R
tt0208883,0.0,0.0,
tt0208889,0.0,0.0,
tt0208911,0.0,0.0,R
tt0208942,0.0,0.0,
tt0208988,63600000.0,19412993.0,R
tt0208993,0.0,0.0,
tt0209037,0.0,0.0,R
tt0209144,9000000.0,39723096.0,R
tt0209180,0.0,0.0,
tt0209279,0.0,0.0,
tt0209322,0.0,0.0,R
tt0209958,33000000.0,104155843.0,R
tt0210065,0.0,30915.0,
tt0210070,5000000.0,0.0,R
tt0210075,0.0,0.0,
tt0210149,0.0,0.0,
tt0210299,0.0,0.0,PG-13
