Movie_ID,budget,revenue,certification
0,,,
tt0113026,10000000.0,0.0,
tt0113092,0.0,0.0,
tt0116391,0.0,0.0,
tt0118694,150000.0,12854953.0,PG
tt0118852,0.0,0.0,R
tt0119273,15000000.0,0.0,R
tt0119495,0.0,0.0,R
tt0119806,0.0,0.0,
tt0120202,0.0,0.0,
tt0120263,0.0,80334.0,
tt0120467,120000.0,14904.0,R
tt0120626,6105121.0,0.0,
tt0120630,45000000.0,224834564.0,G
tt0120698,0.0,0.0,
tt0120733,0.0,0.0,NR
tt0120753,8000000.0,105983.0,R
tt0120755,125000000.0,546388105.0,PG-13
tt0120903,75000000.0,296339527.0,PG-13
tt0120913,75000000.0,36754634.0,PG
tt0120917,100000000.0,169327687.0,G
tt0122161,0.0,0.0,R
tt0122459,24000000.0,36609995.0,PG
tt0123003,10000000.0,0.0,
tt0123055,0.0,0.0,G
tt0127349,8500000.0,327418.0,R
tt0128158,0.0,0.0,
tt0130623,127500000.0,354248063.0,PG
tt0131704,76000000.0,35134820.0,PG
tt0132885,0.0,0.0,
tt0132910,10000000.0,0.0,R
tt0133752,0.0,0.0,
tt0134084,40000000.0,161834276.0,R
tt0134630,0.0,0.0,R
tt0134847,23000000.0,53187659.0,R
tt0134983,90000000.0,14828081.0,R
tt0135707,0.0,0.0,
tt0138288,0.0,0.0,
tt0138353,1700000.0,0.0,R
tt0138749,95000000.0,76432727.0,PG
tt0138818,0.0,0.0,PG-13
tt0138927,0.0,0.0,PG-13
tt0138946,0.0,0.0,R
tt0139388,0.0,0.0,PG
tt0139500,0.0,0.0,
tt0141926,62000000.0,127666415.0,PG-13
tt0142650,0.0,0.0,R
tt0143344,0.0,0.0,
tt0144084,7000000.0,34266564.0,R
tt0144142,3000000.0,0.0,R
tt0144528,84000000.0,123307945.0,PG-13
tt0144574,0.0,0.0,
tt0144608,0.0,0.0,PG
tt0144964,25000000.0,15843608.0,R
tt0146309,80000000.0,34566746.0,PG-13
tt0146882,30000000.0,47126295.0,R
tt0146984,80000000.0,39459427.0,PG-13
